  Total Detections:87
  Process Rate:    1.4 frames/s
  Data Received:   0.01 MB
  Severity Breakdown: {'mild': 27, 'moderate': 26, 'severe': 34, 'unknown': 0}
  InfluxDB:        connected=False written=167 errors=0
============================================================
2026-06-18 06:16:36 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 83: 1 detections [mild=1] @ (39.90420, 116.40740) inf=31.4ms
2026-06-18 06:16:36 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 85: 4 detections [mild=2, severe=1, moderate=1] @ (39.90420, 116.40740) inf=32.8ms
2026-06-18 06:16:37 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 87: 3 detections [mild=1, moderate=2] @ (39.90420, 116.40740) inf=32.4ms
2026-06-18 06:16:37 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 89: 1 detections [severe=1] @ (39.90420, 116.40741) inf=32.4ms
2026-06-18 06:16:37 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 93: 1 detections [severe=1] @ (39.90420, 116.40740) inf=32.1ms
2026-06-18 06:16:37 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 95: 3 detections [severe=1, moderate=1, mild=1] @ (39.90420, 116.40740) inf=32.0ms
2026-06-18 06:16:38 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 97: 2 detections [severe=1, mild=1] @ (39.90420, 116.40741) inf=31.9ms
2026-06-18 06:16:38 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 99: 3 detections [severe=1, mild=2] @ (39.90420, 116.40740) inf=32.0ms
2026-06-18 06:16:38 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 101: 1 detections [severe=1] @ (39.90421, 116.40740) inf=32.3ms
2026-06-18 06:16:38 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 105: 3 detections [severe=3] @ (39.90421, 116.40741) inf=30.2ms
2026-06-18 06:16:39 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 107: 6 detections [mild=1, severe=3, moderate=2] @ (39.90421, 116.40741) inf=31.3ms
